#Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass
Unclassifiable	Unknown	Unknown	1139.78207998104
406661	species	LATIBLATTELLA SP. 3 DJGI 2006	1.0756047591396
554065	species	CHLORELLA VARIABILIS	1.06222086800651
320321	species	CLOSTRIDIUM SP. T2	1.057969861819
281608	species	PROTOPERIDINIUM ABEI	1.0531062694566
3041	phylum	CHLOROPHYTA	1.033554392462
31973	species	EGGERTHIA CATENAFORMIS	1.02944632743
1118235	no rank	STENOTROPHOMONAS MALTOPHILIA PML168	1
681104	species	ROOMBIA TRUNCATA	1
215770	species	PHACUS LIMNOPHILA	1
519806	species	CHRYSEOBACTERIUM SP. CH34	1
453412	species	UNCULTURED THERMOTOGAE BACTERIUM	1
86963	species	ANGUILLA MEGASTOMA	1
161227	species	EUGLENA TRISTELLA	0.977397452584
29380	species	STAPHYLOCOCCUS CAPRAE	0.9737005934495
48165	species	ANGUILLA REINHARDTII	0.96533252703
588879	species	UNCULTURED MARINE CHRYSOPHYTE	0.964484206331
147771	species	APICOMPLEXA SP. TYPE N	0.956593505756
209406	species	RAPHIDONEMA BREVIROSTRE	0.954703289142
230744	species	SELENIDIUM VIVAX	0.9502031969029
160702	species	ANYPERODON LEUCOGRAMMICUS	0.9433551093645
160701	genus	ANYPERODON	0.9433551093645
219849	species	STEMONITIS FUSCA	0.9386835925
148382	species	ENTEROBACTER SP. B96	0.912533466774
1290	species	STAPHYLOCOCCUS HOMINIS	0.910422092106
669200	species	PHILASTER DIGITIFORMIS	0.895040102338
283062	species	UNCULTURED EUKARYOTIC PICOPLANKTON	0.8936630844861
693053	species	PHILASTERIDES ARMATALIS	0.892991683852
2759	superkingdom	EUKARYOTA	0.8895950235138
404788	species	CARYOPHYLLACEAE ENVIRONMENTAL SAMPLE	0.889469936426
311568	species	OPERCULINA ELEGANS	0.8802845625025
35861	species	PARVOCAULIS PARVULA	0.879921691849
13686	species	SOLENOPSIS INVICTA	0.876692602255
629742	no rank	STAPHYLOCOCCUS HOMINIS SK119	0.866103046432
144034	species	POGONOMYRMEX BARBATUS	0.8576519924427
